time,ix,iy,density,flux_x,flux_y
0,0,0,0,0,0
0,0,0.020408163,0,0,0
0,0,0.040816327,0,0,0
0,0,0.06122449,0.125,0.422557576,0.161719566
0,0,0.081632653,0,0,0
0,0,0.102040816,0,0,0
0,0,0.12244898,0,0,0
0,0,0.142857143,0,0,0
0,0,0.163265306,0.625,0.234754209,-0.427774337
0,0,0.183673469,0,0,0
0,0,0.204081633,0,0,0
0,0,0.224489796,0,0,0
0,0,0.244897959,0,0,0
0,0,0.265306122,0,0,0
0,0,0.285714286,0,0,0
0,0,0.306122449,0,0,0
0,0,0.326530612,0,0,0
0,0,0.346938776,0,0,0
0,0,0.367346939,0,0,0
0,0,0.387755102,0,0,0
0,0,0.408163265,0.125,0.119985485,0.01043352
0,0,0.428571429,0.25,0.00521676,-0.015650281
0,0,0.448979592,0,0,0
0,0,0.469387755,0.25,0.015650281,-0.00521676
0,0,0.489795918,0,0,0
0,0,0.510204082,0,0,0
0,0,0.530612245,0.125,0.114768724,-0.00521676
0,0,0.551020408,0,0,0
0,0,0.571428571,0,0,0
0,0,0.591836735,0,0,0
0,0,0.612244898,0.25,0.057384362,0.104335204
0,0,0.632653061,0,0,0
0,0,0.653061224,0,0,0
0,0,0.673469388,0.125,0.125202245,-0.020867041
0,0,0.693877551,0,0,0
0,0,0.714285714,0.125,0.386040255,-0.073034643
0,0,0.734693878,0,0,0
0,0,0.755102041,0,0,0
0,0,0.775510204,0,0,0
0,0,0.795918367,0,0,0
0,0,0.816326531,0,0,0
0,0,0.836734694,0.25,0.015650281,-0.01043352
0,0,0.857142857,0,0,0
0,0,0.87755102,0,0,0
0,0,0.897959184,0,0,0
0,0,0.918367347,0.25,0.093901684,-0.036517321
0,0,0.93877551,0,0,0
0,0,0.959183673,0,0,0
0,0,0.979591837,0.125,0.370389974,-0.166936327
0,0,1,0,0,0
0,0.020408163,0,0,0,0
0,0.020408163,0.020408163,0,0,0
0,0.020408163,0.040816327,0,0,0
0,0.020408163,0.06122449,0.125,0.386040255,0.151286046
0,0.020408163,0.081632653,0,0,0
0,0.020408163,0.102040816,0.125,0.401690536,0.146069286
0,0.020408163,0.12244898,0,0,0
0,0.020408163,0.142857143,0,0,0
0,0.020408163,0.163265306,0,0,0
0,0.020408163,0.183673469,0,0,0
0,0.020408163,0.204081633,0,0,0
0,0.020408163,0.224489796,0,0,0
0,0.020408163,0.244897959,0,0,0
0,0.020408163,0.265306122,0,0,0
0,0.020408163,0.285714286,0,0,0
0,0.020408163,0.306122449,0,0,0
0,0.020408163,0.326530612,0,0,0
0,0.020408163,0.346938776,0,0,0
0,0.020408163,0.367346939,0,0,0
0,0.020408163,0.387755102,0,0,0
0,0.020408163,0.408163265,0,0,0
0,0.020408163,0.428571429,0.25,0.057384362,0.015650281
0,0.020408163,0.448979592,0,0,0
0,0.020408163,0.469387755,0.25,0.046950842,0.036517321
0,0.020408163,0.489795918,0,0,0
0,0.020408163,0.510204082,0.25,-0.00521676,-0.00521676
0,0.020408163,0.530612245,0.125,0.083468163,-0.00521676
0,0.020408163,0.551020408,0,0,0
0,0.020408163,0.571428571,0,0,0
0,0.020408163,0.591836735,0,0,0
0,0.020408163,0.612244898,0.125,0.26083801,-0.036517321
0,0.020408163,0.632653061,0.25,0.015650281,0.00521676
0,0.020408163,0.653061224,0,0,0
0,0.020408163,0.673469388,0,0,0
0,0.020408163,0.693877551,0,0,0
0,0.020408163,0.714285714,0,0,0
0,0.020408163,0.734693878,0.125,0.271271531,-0.073034643
0,0.020408163,0.755102041,0,0,0
0,0.020408163,0.775510204,0.125,0.130419005,-0.031300561
0,0.020408163,0.795918367,0,0,0
0,0.020408163,0.816326531,0.25,0.041734082,-0.01043352
0,0.020408163,0.836734694,0.125,0.067817883,-0.026083801
0,0.020408163,0.857142857,0,0,0
0,0.020408163,0.87755102,0.125,0.062601122,-0.020867041
0,0.020408163,0.897959184,0,0,0
0,0.020408163,0.918367347,0,0,0
0,0.020408163,0.93877551,0,0,0
0,0.020408163,0.959183673,0,0,0
0,0.020408163,0.979591837,0,0,0
0,0.020408163,1,0,0,0
0,0.040816327,0,0,0,0
0,0.040816327,0.020408163,0,0,0
0,0.040816327,0.040816327,0,0,0
0,0.040816327,0.06122449,0,0,0
0,0.040816327,0.081632653,0,0,0
0,0.040816327,0.102040816,0,0,0
0,0.040816327,0.12244898,0,0,0
0,0.040816327,0.142857143,0,0,0
0,0.040816327,0.163265306,0,0,0
0,0.040816327,0.183673469,0,0,0
0,0.040816327,0.204081633,0,0,0
0,0.040816327,0.224489796,0,0,0
0,0.040816327,0.244897959,0,0,0
0,0.040816327,0.265306122,0,0,0
0,0.040816327,0.285714286,0,0,0
0,0.040816327,0.306122449,0,0,0
0,0.040816327,0.326530612,0,0,0
0,0.040816327,0.346938776,0,0,0
0,0.040816327,0.367346939,0,0,0
0,0.040816327,0.387755102,0,0,0
0,0.040816327,0.408163265,0,0,0
0,0.040816327,0.428571429,0,0,0
0,0.040816327,0.448979592,0,0,0
0,0.040816327,0.469387755,0,0,0
0,0.040816327,0.489795918,0,0,0
0,0.040816327,0.510204082,0,0,0
0,0.040816327,0.530612245,0,0,0
0,0.040816327,0.551020408,0,0,0
0,0.040816327,0.571428571,0,0,0
0,0.040816327,0.591836735,0,0,0
0,0.040816327,0.612244898,0,0,0
0,0.040816327,0.632653061,0,0,0
0,0.040816327,0.653061224,0,0,0
0,0.040816327,0.673469388,0,0,0
0,0.040816327,0.693877551,0,0,0
0,0.040816327,0.714285714,0,0,0
0,0.040816327,0.734693878,0,0,0
0,0.040816327,0.755102041,0,0,0
0,0.040816327,0.775510204,0,0,0
0,0.040816327,0.795918367,0,0,0
0,0.040816327,0.816326531,0,0,0
0,0.040816327,0.836734694,0,0,0
0,0.040816327,0.857142857,0,0,0
0,0.040816327,0.87755102,0,0,0
0,0.040816327,0.897959184,0,0,0
0,0.040816327,0.918367347,0,0,0
0,0.040816327,0.93877551,0,0,0
0,0.040816327,0.959183673,0,0,0
0,0.040816327,0.979591837,0,0,0
0,0.040816327,1,0,0,0
0,0.06122449,0,0,0,0
0,0.06122449,0.020408163,0.125,0.078251403,0.339089413
0,0.06122449,0.040816327,0,0,0
0,0.06122449,0.06122449,0,0,0
0,0.06122449,0.081632653,0,0,0
0,0.06122449,0.102040816,0,0,0
0,0.06122449,0.12244898,0,0,0
0,0.06122449,0.142857143,0,0,0
0,0.06122449,0.163265306,0,0,0
